cell,N,chi_peakJ
mistral_pathC,8,5.7670676136906085
mistral_pathC,16,10.778400325796389
mistral_pathC,24,13.835156971008493
mistral_pathC,32,18.44189782862075
llama3_01,8,5.245904359181855
llama3_01,16,9.973345807609077
llama3_01,24,12.669506339097236
llama3_AB,8,5.4954415799194045
llama3_AB,16,10.387465790072884
llama3_AB,24,13.175489953917758
qwen3_01,8,5.718686542970908
qwen3_01,16,10.598098158855677
qwen3_01,24,14.17659285326549
qwen25_01,8,5.475286573330416
qwen25_01,16,7.22931112214331
qwen25_01,24,12.094633613123118
qwen25_AB,8,5.600522647349024
qwen25_AB,16,10.975890601025034
qwen25_AB,24,13.728655487355162
yi_01,8,5.712005398577276
yi_01,16,11.033230289289708
yi_01,24,13.916652112005277
