N,J,which,absm,config_pm1
24,0.2,median,0.19684864624944515,-1 -1 1 1 1 -1 -1 1 -1 1 -1 -1 1 1 1 -1 1 -1 1 1 1 1 1 -1
24,0.2,disordered,0.191855304039059,-1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 1
24,0.2,ordered,0.19973368841544606,-1 -1 -1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 -1 1 1
24,0.4,median,0.238126941855304,1 1 1 1 1 1 1 1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 -1 -1 -1 1 -1
24,0.4,disordered,0.23768308921438083,1 -1 1 1 1 -1 1 -1 1 -1 1 1 -1 1 1 -1 -1 1 1 -1 -1 -1 -1 1
24,0.4,ordered,0.24611628939192184,-1 -1 -1 1 -1 -1 -1 -1 1 1 -1 -1 -1 -1 1 1 -1 -1 -1 -1 -1 1 -1 -1
24,0.6,median,0.32312472259209946,1 1 1 -1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 -1 1 1 1 -1 -1 -1
24,0.6,disordered,0.3031513537505548,-1 -1 -1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 -1 -1 1 1 -1 -1
24,0.6,ordered,0.34720372836218377,1 1 1 1 -1 1 1 1 -1 -1 -1 -1 1 1 1 1 -1 1 -1 -1 1 1 -1 -1
24,0.8,median,0.4754771415889925,1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 1
24,0.8,disordered,0.45650244118952515,-1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 -1 1 1 -1 -1
24,0.8,ordered,0.49489569462938304,-1 -1 -1 -1 -1 1 -1 1 -1 1 -1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1
24,1.0,median,0.7281402574345318,-1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 1
24,1.0,disordered,0.6460275188637372,-1 -1 -1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
24,1.0,ordered,0.7488903683976921,-1 -1 -1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 1 1 -1 -1
24,1.2,median,0.8998002663115846,-1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
24,1.2,disordered,0.8912561029738126,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1
24,1.2,ordered,0.9016866400355084,1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1
24,1.5,median,0.9721482467820682,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
24,1.5,disordered,0.9518419884598313,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
24,1.5,ordered,0.9758100310696848,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1
